№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
262	110	89	1	1	0,1	Cabarete	2007	KI	451	1,24	1,15
263	110	94	1	1	0,2	Cabarete		C21	2860	1,17	1,09
264	110	101	2	2	0,1	Cabarete		C21	2766	1,09	1,01
265	110	127	2	2,5	0,8	Cabarete		C21	3066	0,87	0,81
266	110	130	2	2		Sosua		KI	409	0,85	0,79
267	112	72	1	1	0,1	Cabarete		C21	2223	1,56	1,45
268	112	72	2	2		Sosua		DR	3761	1,56	1,45
269	114	50	1	1		Sosua	2007	KI	410	2,28	2,12
270	114	64	1	1		Sosua		DR	3749	1,78	1,66
271	114	80	2	1	0,1	Cabarete		C21	2785	1,43	1,33
272	114,5	120	2	2		Sosua		Coral	6200	0,95	0,89
273	114,9	65	1	1		Cabarete		Coral	9032	1,77	1,64
274	115	50	2	2		Cabarete		DR	1423	2,3	2,14
275	115	54	2	1		Cabarete	2006	KI	200	2,13	1,98
276	115	54	1	1		Cabarete		DR	1059	2,13	1,98
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
277	115	65	1	1	0,1	Cabarete		C21	2285	1,77	1,65
278	115	65	1	1	0,1	Cabarete		C21	2848	1,77	1,65
279	115	72	1	1	0,1	Cabarete		C21	2917	1,6	1,49
280	115	72	2	1		Sosua		Coral	8024	1,6	1,49
281	115	80	2	1	0,1	Cabarete		C21	2296	1,44	1,34
282	115	83	1	1		Sosua		West	3798	1,39	1,29
283	115	86	2	2		Sosua		KI	234	1,34	1,24
284	115	105	2	2		Cabarete		Coral	6133	1,1	1,02
285	116	89	2	2		Cabarete		DR	1420	1,3	1,21
286	117	50	1	1	0,1	Cabarete		C21	846	2,34	2,18
287	117	95	2	2	0,1	Cabarete		C21	2905	1,23	1,15
288	117	97	2	2	0,5	Cabarete		C21	3070	1,21	1,12
289	118	128	2	2		Cabarete		West	3067	0,92	0,86
290	118	149	2	2,5	2	Cabarete		C21	3133	0,79	0,74
291	119	55	1	1	0,2	Cabarete		C21	3114	2,16	2,01
292	119	72	1	1		Cabarete		Coral	6240	1,65	1,54
293	119	120	3	2		Sosua		DR	4022	0,99	0,92
294	119,5	125	2	2	0,1	Cabarete	2005	KI	453	0,96	0,89
295	120	50	1	1		Cabarete		Coral	74	2,4	2,23
296	120	54	1	1		Cabarete	2006	KI	370	2,22	2,07
297	120	75	2	1		Sosua		West	3767	1,6	1,49
298	120	77	2	1	0,8	Sosua		C21	2951	1,56	1,45
299	120	88	2	2		Cabarete		West	3272	1,36	1,27
300	120	95	2	2		Cabarete		Coral	6066	1,26	1,17
301	120	105	2	2		Cabarete		West	3352	1,14	1,06
302	120	115	2	2	0,1	Cabarete		KI	215	1,04	0,97
303	120	120	2	1		Cabarete		West	2573	1	0,93
304	120	450	1	1		Sosua		Coral	6261	0,27	0,25
305	122	80	2	1	0,2	Cabarete		C21	2886	1,53	1,42
306	123	118	2	2		Cabarete		Coral	8202	1,04	0,97
307	124	75	2	1	0,1	Cabarete		C21	2794	1,65	1,54
308	124	164	2	2	0,1	Cabarete		C21	3156	0,76	0,7
309	125	60	2	2		Sosua		Coral	6243	2,08	1,94
310	125	61	2	2		Cabarete		West	2486	2,05	1,91
311	125	70	2	1		Cabarete		West	3729	1,79	1,66
312	125	71	1	1		Cabarete		Coral	8072	1,76	1,64
313	125	86	2	2		Cabarete		Coral	6229	1,45	1,35
314	125	88	1	1	0,1	Cabarete		C21	2501	1,42	1,32
315	125	89	2	2		Cabarete		Coral	6127	1,4	1,31
316	125	90	2	3		Sosua		DR	4069	1,39	1,29
317	125	99	1	2	0,2	Sosua		C21	2839	1,26	1,17
318	125	100	2	2	0,3	Cabarete		KI	361	1,25	1,16
319	125	196	3	3	0,2	Cabarete		C21	3142	0,64	0,59
320	129	50	1	1		Sosua		DR	874	2,58	2,4
321	129	65	1	1	0,2	Cabarete		C21	1944	1,98	1,85
322	129	80	2	1		Cabarete		C21	2000	1,61	1,5
323	129	86	1	1		Cabarete		Coral	6089	1,5	1,4
324	129	89	2	1		Cabarete		West	3573	1,45	1,35
325	129	89	1	1		Cabarete		C21	2409	1,45	1,35
326	129	89	2	2		Cabarete		Coral	6065	1,45	1,35
327	129	89	1	1		Cabarete		Coral	9090	1,45	1,35
328	129	120	2	2	0,3	Cabarete		KI	424	1,08	1
329	129	145	2	2		Sosua		DR	2960	0,89	0,83
330	129,5	71	1	1		Cabarete		Coral	6268	1,82	1,7
331	130	71	1	1		Cabarete		C21	2845	1,83	1,7
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
332	130	72	1	1		Sosua		DR	3996	1,81	1,68
333	130	90	2	2		Cabarete		DR	3866	1,44	1,34
334	130	110	2	2		Sosua		DR	1442	1,18	1,1
335	130	114	2	3	1	Cabarete		C21	2638	1,14	1,06
336	130	120	2	2		Cabarete		DR	1533	1,08	1,01
337	130	127	2	2		Sosua		DR	1709	1,02	0,95
338	130	130	2	2	0,3	Cabarete		KI	363	1	0,93
339	132	60	1	1		Sosua		West	3487	2,2	2,05
340	132	108	2	2		Cabarete		DR	2842	1,22	1,14
341	133	96	2	2		Sosua		DR	3637	1,39	1,29
342	134	58	1	1		Cabarete		Coral	6248	2,31	2,15
343	134	80	2	1		Cabarete		Coral	6257	1,68	1,56
344	134	222	1	1	0,2	Cabarete		C21	2724	0,6	0,56
345	135	57	1	1	0,1	Cabarete		C21	2892	2,37	2,2
346	135	58	2	2		Cabarete		KI	333	2,33	2,16
347	135	72	1	1		Cabarete		C21	3151	1,88	1,74
348	135	80	1	1	0,5	Cabarete		KI	431	1,69	1,57
349	135	80	2	1	0,1	Cabarete		C21	2052	1,69	1,57
350	135	80	2	1	0,1	Cabarete		C21	2964	1,69	1,57
351	135	90	1	1,5		Cabarete		West	2072	1,5	1,4
352	135	90	2	2		Cabarete		West	2097	1,5	1,4
353	135	90	1	1		Cabarete		Coral	9077	1,5	1,4
354	135	100	2	2		Cabarete		Coral	6103	1,35	1,26
355	135	100	2	2		Cabarete		Coral	6125	1,35	1,26
356	135	110	2	2		Sosua		Coral	8043	1,23	1,14
357	135	131	2	2		Sosua		Coral	9113	1,03	0,96
358	136	137	2	2	0,1	Cabarete		C21	3155	0,99	0,92
359	136	140	3	2		Sosua		C21	2819	0,97	0,9
360	136	262	1	1	0,1	Cabarete	2007	KI	401	0,52	0,48
361	137	57	1	1	0,2	Cabarete		C21	2286	2,4	2,24
362	138	90	2	2		Cabarete		DR	3852	1,53	1,43
363	138	90	2	2		Sosua		DR	3722	1,53	1,43
364	139	60	2	2		Cabarete		DR	3895	2,32	2,15
365	139	86	2	2		Cabarete		Coral	9019	1,62	1,5
366	139	93	2	2		Cabarete		DR	871	1,49	1,39
367	139	115	2	2		Sosua		Coral	1033	1,21	1,12
368	139	127	2	2		Sosua		West	3581	1,09	1,02
369	139	196	3	3	0,2	Cabarete		C21	2932	0,71	0,66
370	140	65	1	1		Cabarete		KI	341	2,15	2
371	140	89	1	1		Cabarete		West	3335	1,57	1,46
372	140	100	2	2		Cabarete		DR	1505	1,4	1,3
373	140	186	3	3		Sosua		Coral	9093	0,75	0,7
374	142	90	1	1,5		Sosua		Coral	6271	1,58	1,47
375	145	90	1	1		Cabarete		Coral	6223	1,61	1,5
376	145	95	2	1		Cabarete		C21	2665	1,53	1,42
377	145	107	2	2		Cabarete		C21	1646	1,36	1,26
378	145	108	2	2	0,5	Cabarete	2009	KI	307	1,34	1,25
